Tempo (s);Carga (g);Posicao (mm)
4,167;-0,1;25,9
4,18;-0,1;26
4,18;-0,1;26
4,18;-0,1;26
4,194;-0,1;26,1
4,194;-0,1;26,1
4,194;-0,1;26,1
4,208;-0,1;26,1
4,208;-0,1;26,1
4,208;-0,1;26,1
4,221;-0,1;26,1
4,221;-0,1;26,1
4,221;-0,1;26,1
4,234;0;26,1
4,234;0;26,1
4,234;0;26,1
4,246;0,1;26,1
4,246;0,1;26,1
4,246;0,1;26,1
4,259;0,3;26,1
4,259;0,3;26,1
4,259;0,3;26,1
4,272;0,4;26,2
4,272;0,4;26,2
4,272;0,4;26,2
4,285;0,5;26,2
4,285;0,5;26,2
4,285;0,5;26,2
4,298;0,7;26,2
4,298;0,7;26,2
4,298;0,7;26,2
4,31;0,8;26,2
4,31;0,8;26,2
4,31;0,8;26,2
4,323;0,9;26,2
4,323;0,9;26,2
4,323;0,9;26,2
4,336;0,9;26,2
4,336;0,9;26,2
4,336;0,9;26,2
4,348;0,9;26,2
4,348;0,9;26,2
4,348;0,9;26,2
4,362;0,9;26,2
4,362;0,9;26,2
4,362;0,9;26,2
4,374;1;26,2
4,374;1;26,2
4,374;1;26,2
4,386;1;26,2
4,386;1;26,2
4,386;1;26,2
4,4;1;26,2
4,4;1;26,2
4,4;1;26,2
4,412;1;26,2
4,412;1;26,2
4,412;1;26,2
4,425;0,9;26,2
4,425;0,9;26,2
4,425;0,9;26,2
4,438;0,8;26,2
4,438;0,8;26,2
4,438;0,8;26,2
4,451;0,7;26,2
4,451;0,7;26,2
4,451;0,7;26,2
4,463;0,6;26,2
4,463;0,6;26,2
4,463;0,6;26,2
4,476;0,5;26,2
4,476;0,5;26,2
4,476;0,5;26,2
4,489;0,3;26,2
4,489;0,3;26,2
4,489;0,3;26,2
4,502;0,2;26,2
4,502;0,2;26,2
4,502;0,2;26,2
4,514;0,1;26,2
4,514;0,1;26,2
4,514;0,1;26,2
4,527;0;26,2
4,527;0;26,2
4,527;0;26,2
4,54;0;26,2
4,54;0;26,2
4,54;0;26,2
4,552;0;26,2
4,552;0;26,2
4,552;0;26,2
4,565;0;26,2
4,565;0;26,2
4,565;0;26,2
4,578;0;26,2
4,578;0;26,2
4,578;0;26,2
4,591;0;26,2
4,591;0;26,2
4,591;0;26,2
4,603;0;26,2
4,603;0;26,2
4,603;0;26,2
4,616;0;26,2
4,616;0;26,2
4,616;0;26,2
4,628;0;26,2
4,628;0;26,2
4,628;0;26,2
4,641;0;26,2
4,641;0;26,2
4,641;0;26,2
4,654;0;26,2
4,654;0;26,2
4,654;0;26,2
4,667;0;26,2
4,667;0;26,2
4,667;0;26,2
4,679;0;26,2
4,679;0;26,2
4,679;0;26,2
4,691;0;26,2
4,691;0;26,2
4,691;0;26,2
4,705;0;26,2
4,705;0;26,2
4,705;0;26,2
4,718;0;26,2
4,718;0;26,2
4,718;0;26,2
4,73;0;26,2
4,73;0;26,2
4,73;0;26,2
4,743;0;26,2
4,743;0;26,2
4,743;0;26,2
4,756;0;26,2
4,756;0;26,2
4,756;0;26,2
4,768;0;26,2
4,768;0;26,2
4,768;0;26,2
4,781;0;26,2
4,781;0;26,2
4,781;0;26,2
4,794;0;26,2
4,794;0;26,2
4,794;0;26,2
4,806;0;26,2
4,806;0;26,2
4,806;0;26,2
4,818;0;26,2
4,818;0;26,2
4,818;0;26,2
4,832;0;26,2
4,832;0;26,2
4,832;0;26,2
4,845;0;26,2
4,845;0;26,2
4,845;0;26,2
4,857;0;26,2
4,857;0;26,2
4,857;0;26,2
4,87;0;26,2
4,87;0;26,2
4,87;0;26,2
4,883;0;26,2
4,883;0;26,2
4,883;0;26,2
4,895;0;26,2
4,895;0;26,2
4,895;0;26,2
4,907;0;26,2
4,907;0;26,2
4,907;0;26,2
4,921;0;26,2
4,921;0;26,2
4,921;0;26,2
4,933;0;26,2
4,933;0;26,2
4,933;0;26,2
4,946;0;26,2
4,946;0;26,2
4,946;0;26,2
4,959;0;26,2
4,959;0;26,2
4,959;0;26,2
4,971;0;26,2
4,971;0;26,2
4,971;0;26,2
4,984;0;26,2
4,984;0;26,2
4,984;0;26,2
4,997;0;26,2
4,997;0;26,2
4,997;0;26,2
5,01;0;26,2
5,01;0;26,2
5,01;0;26,2
5,022;0;26,2
5,022;0;26,2
5,022;0;26,2
5,034;0;26,2
5,034;0;26,2
5,034;0;26,2
5,048;0;26,2
5,048;0;26,2
5,048;0;26,2
5,06;0;26,2
5,06;0;26,2
5,06;0;26,2
5,073;0;26,2
5,073;0;26,2
5,073;0;26,2
5,086;0;26,2
5,086;0;26,2
5,086;0;26,2
5,098;0;26,2
5,098;0;26,2
5,098;0;26,2
5,111;0;26,2
5,111;0;26,2
5,111;0;26,2
5,124;0;26,2
5,124;0;26,2
5,124;0;26,2
5,137;0;26,2
5,137;0;26,2
5,137;0;26,2
5,149;0;26,2
5,149;0;26,2
5,149;0;26,2
5,162;0;26,2
5,162;0;26,2
5,162;0;26,2
5,175;0;26,2
5,175;0;26,2
5,175;0;26,2
5,187;0;26,2
5,187;0;26,2
5,187;0;26,2
5,2;0;26,2
5,2;0;26,2
5,2;0;26,2
5,213;0;26,2
5,213;0;26,2
5,213;0;26,2
5,225;0;26,2
5,225;0;26,2
5,225;0;26,2
5,238;0;26,2
5,238;0;26,2
5,238;0;26,2
5,251;0;26,2
5,251;0;26,2
5,251;0;26,2
5,264;0;26,2
5,264;0;26,2
5,264;0;26,2
5,276;0;26,2
5,276;0;26,2
5,276;0;26,2
5,289;0;26,2
5,289;0;26,2
5,289;0;26,2
5,302;0;26,2
5,302;0;26,2
5,302;0;26,2
5,314;0;26,2
5,314;0;26,2
5,314;0;26,2
5,327;0;26,2
5,327;0;26,2
5,327;0;26,2
5,34;0;26,2
5,34;0;26,2
5,34;0;26,2
5,352;0;26,2
5,352;0;26,2
5,352;0;26,2
5,365;0;26,2
5,365;0;26,2
5,365;0;26,2
