Tempo (s);Carga (g);Posicao (mm)
4,606;0;25,5
4,606;0;25,5
4,618;0;25,5
4,618;0;25,5
4,618;0;25,5
4,631;0;25,5
4,631;0;25,5
4,631;0;25,5
4,644;0;25,5
4,644;0;25,5
4,644;0;25,5
4,656;0;25,5
4,656;0;25,5
4,656;0;25,5
4,67;0;25,5
4,67;0;25,5
4,67;0;25,5
4,682;0;25,5
4,682;0;25,5
4,682;0;25,5
4,694;0;25,5
4,694;0;25,5
4,694;0;25,5
4,707;0;25,5
4,707;0;25,5
4,707;0;25,5
4,72;0;25,5
4,72;0;25,5
4,72;0;25,5
4,732;0;25,5
4,732;0;25,5
4,732;0;25,5
4,744;0;25,5
4,744;0;25,5
4,744;0;25,5
4,757;0;25,5
4,757;0;25,5
4,757;0;25,5
4,769;0;25,5
4,769;0;25,5
4,769;0;25,5
4,782;0;25,5
4,782;0;25,5
4,782;0;25,5
4,795;0;25,5
4,795;0;25,5
4,795;0;25,5
4,808;0;25,5
4,808;0;25,5
4,808;0;25,5
4,82;0;25,5
4,82;0;25,5
4,82;0;25,5
4,832;0;25,5
4,832;0;25,5
4,832;0;25,5
4,845;0;25,5
4,845;0;25,5
4,845;0;25,5
4,858;0;25,5
4,858;0;25,5
4,858;0;25,5
4,87;0;25,5
4,87;0;25,5
4,87;0;25,5
4,883;0;25,5
4,883;0;25,5
4,883;0;25,5
4,895;0;25,5
4,895;0;25,5
4,895;0;25,5
4,907;-0,1;25,5
4,907;-0,1;25,5
4,907;-0,1;25,5
4,921;-0,1;25,5
4,921;-0,1;25,5
4,921;-0,1;25,5
4,934;-0,1;25,5
4,934;-0,1;25,5
4,934;-0,1;25,5
4,946;-0,1;25,5
4,946;-0,1;25,5
4,946;-0,1;25,5
4,958;-0,1;25,5
4,958;-0,1;25,5
4,958;-0,1;25,5
4,972;-0,1;25,5
4,972;-0,1;25,5
4,972;-0,1;25,5
4,984;-0,1;25,5
4,984;-0,1;25,5
4,984;-0,1;25,5
4,997;-0,1;25,5
4,997;-0,1;25,5
4,997;-0,1;25,5
5,01;0;25,5
5,01;0;25,5
5,01;0;25,5
5,022;0;25,5
5,022;0;25,5
5,022;0;25,5
5,034;0;25,5
5,034;0;25,5
5,034;0;25,5
5,047;0;25,5
5,047;0;25,5
5,047;0;25,5
5,06;0;25,5
5,06;0;25,5
5,06;0;25,5
5,073;0;25,5
5,073;0;25,5
5,073;0;25,5
5,085;0;25,5
5,085;0;25,5
5,085;0;25,5
5,098;0;25,5
5,098;0;25,5
5,098;0;25,5
5,11;0;25,5
